"","x"
"1",85.59748999142
"2",86.2431248024572
"3",86.8637133324741
"4",87.4596970269566
"5",88.0315173313907
"6",88.579615691262
"7",89.1044335520599
"8",89.6064123592643
"9",90.085993558372
"10",90.5436185948647
"11",90.9797289142279
"12",91.3947659619511
"13",91.7891711835318
"14",92.1633860244625
"15",92.5178519302031
"16",92.8530103462618
"17",93.1693027180837
"18",93.4671704912821
"19",93.7470551112424
"20",94.009398023441
"21",94.2546406733696
"22",94.483224506611
"23",94.6955909685514
"24",94.892181504732
"25",95.0734375605833
"26",95.2398005816788
"27",95.3917120132928
"28",95.5296133011051
"29",95.6539458908848
"30",95.7651512274502
"31",95.8636707567274
"32",95.9499459236308
"33",96.0244181749675
"34",96.0875289548423
"35",96.1397197096129
"36",96.1814318841479
"37",96.2131069240991
"38",96.2351862755596
"39",96.248111383451
"40",96.2523236932136
"41",96.248264649997
"42",96.2363757004192
"43",96.2170982890829
"44",96.1908738617578
"45",96.1581438628521
"46",96.1193497403218
"47",96.074932937536
"48",96.0253349006163
"49",95.9709970752298
"50",95.912360907035
"51",95.8498678411078
"52",95.783959322397
"53",95.715076797603
"54",95.6436617116177
"55",95.5701555096796
"56",95.4949996372675
"57",95.4186355412716
"58",95.3415046657049
"59",95.2640484556015
"60",95.1863019221257
"61",95.1083000735558
"62",95.0300779204677
"63",94.9516704718401
"64",94.8731127376206
"65",94.7944397266373
"66",94.7156864496426
"67",94.6368879153845
"68",94.55807913408
"69",94.4792951145864
"70",94.4005708668369
"71",94.3219414006285
"72",94.2434417253497
"73",94.1651068506581
"74",94.086971786168
"75",94.0090715410666
"76",93.9314411252823
"77",93.8541155487469
"78",93.7771298208529
"79",93.7005189506552
"80",93.6243179483659
"81",93.5485618232452
"82",93.4732855849907
"83",93.3985242432165
"84",93.3243128075097
"85",93.2506862875121
"86",93.1776796926078
"87",93.1053280326747
"88",93.0336663173035
"89",92.962729555914
"90",92.892552757876
"91",92.8231709333323
"92",92.7546190911933
"93",92.6869322419047
"94",92.6201453946672
"95",92.5542935583436
"96",92.4894117439383
"97",92.4255349604222
"98",92.3626982168726
"99",92.3009365223047
"100",92.240284889419
"101",92.1807783238533
"102",92.1224518373368
"103",92.0653404397664
"104",92.0094791391679
"105",91.9549029469779
"106",91.9016468712606
"107",91.8497459223272
"108",91.7992351093222
"109",91.7501494431398
"110",91.7025422462574
"111",91.6564668419723
"112",91.6119765538761
"113",91.5691247064767
"114",91.5279646216438
"115",91.4885496254432
"116",91.4509330385922
"117",91.41516818745
"118",91.3813083936327
"119",91.3494069810505
"120",91.3195172733455
"121",91.2916925937352
"122",91.2659862672982
"123",91.2424516159573
"124",91.2211419637499
"125",91.2021106342794
"126",91.1854109511497
"127",91.1710962379947
"128",91.1592198178498
"129",91.1498350148529
"130",91.1429951523273
"131",91.1387535536629
"132",91.137163542829
"133",91.1382784427404
"134",91.1421515779624
"135",91.1488362708518
"136",91.1583858462376
"137",91.1708536266237
"138",91.1862929358178
"139",91.2047570971255
"140",91.22629943519
"141",91.2509732722662
"142",91.2788319331125
"143",91.3099287399487
"144",91.3443170167843
"145",91.3820500881225
"146",91.4231812760804
"147",91.4677639053366
"148",91.515851299318
"149",91.5674967809278
"150",91.622753674495
"151",91.6815111676801
"152",91.7436584498019
"153",91.8090847095041
"154",91.877679135832
"155",91.949330916735
"156",92.0239292407163
"157",92.1013632972646
"158",92.1815222748156
"159",92.2642953618549
"160",92.3495717469061
"161",92.4372406192224
"162",92.5271911663881
"163",92.6193125780542
"164",92.7134940431084
"165",92.8096247489999
"166",92.9075938853825
"167",93.0072906406409
"168",93.1086042033576
"169",93.2114237625531
"170",93.3156385065343
"171",93.4211376242769
"172",93.5278103040764
"173",93.635545734869
"174",93.7442331049772
"175",93.8537616034242
"176",93.9640204189187
"177",94.0748987401842
"178",94.1862857552913
"179",94.2980706533196
"180",94.4101426235949
"181",94.5223908536666
"182",94.6347045329146
"183",94.7469728493912
"184",94.8590849923148
"185",94.9709301500056
"186",95.0823975119391
"187",95.1933762663672
"188",95.3037556005088
"189",95.4134247057407
"190",95.5222727687477
"191",95.6301889787806
"192",95.7370625241506
"193",95.8427825949041
"194",95.9472383775865
"195",96.0503190625244
"196",96.1519138381892
